Unnamed: 0,0
Airplane,cat
automobile,truck
bird,ship
cat,Airplane
deer,deer
dog,frog
frog,cat
horse,frog
ship,dog
truck,automobile
10,ship
11,truck
12,dog
13,frog
14,automobile
15,ship
16,Airplane
17,Airplane
18,ship
19,frog
20,deer
21,Airplane
22,Airplane
23,automobile
24,deer
25,frog
26,deer
27,bird
28,automobile
29,frog
30,frog
31,dog
32,bird
33,frog
34,truck
35,horse
36,deer
37,truck
38,automobile
39,dog
40,Airplane
41,frog
42,cat
43,frog
44,Airplane
45,truck
46,dog
47,ship
48,deer
49,frog
50,truck
51,horse
52,frog
53,dog
54,ship
55,ship
56,bird
57,ship
58,truck
59,bird
60,horse
61,cat
62,deer
63,truck
64,cat
65,bird
66,automobile
67,ship
68,cat
69,ship
70,cat
71,dog
72,ship
73,ship
74,Airplane
75,bird
76,truck
77,automobile
78,cat
79,automobile
80,ship
81,dog
82,automobile
83,Airplane
84,Airplane
85,truck
86,Airplane
87,ship
88,ship
89,truck
90,truck
91,frog
92,ship
93,frog
94,horse
95,cat
96,frog
97,Airplane
98,bird
99,horse
100,deer
101,deer
102,frog
103,frog
104,truck
105,automobile
106,frog
107,frog
108,ship
109,dog
110,frog
111,bird
112,deer
113,deer
114,truck
115,deer
116,Airplane
117,bird
118,frog
119,dog
120,ship
121,deer
122,truck
123,bird
124,Airplane
125,automobile
126,ship
127,dog
128,deer
129,truck
130,deer
131,automobile
132,truck
133,horse
134,automobile
135,bird
136,truck
137,horse
138,frog
139,automobile
140,bird
141,bird
142,cat
143,cat
144,ship
145,Airplane
146,cat
147,frog
148,dog
149,truck
150,truck
151,Airplane
152,ship
153,Airplane
154,cat
155,dog
156,dog
157,truck
158,cat
159,Airplane
160,Airplane
161,automobile
162,horse
163,frog
164,Airplane
165,horse
166,ship
167,frog
168,horse
169,truck
170,truck
171,Airplane
172,automobile
173,ship
174,truck
175,truck
176,ship
177,cat
178,cat
179,Airplane
180,Airplane
181,horse
182,frog
183,Airplane
184,dog
185,ship
186,frog
187,frog
188,truck
189,Airplane
190,deer
191,cat
192,dog
193,dog
194,horse
195,frog
196,ship
197,Airplane
198,cat
199,Airplane
200,cat
201,truck
202,ship
203,Airplane
204,automobile
205,dog
206,truck
207,dog
208,horse
209,ship
210,cat
211,automobile
212,ship
213,truck
214,truck
215,cat
216,horse
217,truck
218,Airplane
219,horse
220,bird
221,horse
222,truck
223,frog
224,truck
225,truck
226,cat
227,dog
228,bird
229,bird
230,cat
231,automobile
232,frog
233,automobile
234,ship
235,Airplane
236,frog
237,truck
238,cat
239,cat
240,automobile
241,truck
242,bird
243,ship
244,Airplane
245,frog
246,horse
247,Airplane
248,bird
249,frog
250,Airplane
251,cat
252,frog
253,cat
254,deer
255,Airplane
256,frog
257,ship
258,ship
259,automobile
260,dog
261,automobile
262,bird
263,cat
264,Airplane
265,ship
266,ship
267,deer
268,horse
269,Airplane
270,bird
271,cat
272,frog
273,dog
274,truck
275,cat
276,truck
277,deer
278,bird
279,dog
280,truck
281,dog
282,cat
283,automobile
284,truck
285,truck
286,ship
287,ship
288,bird
289,truck
290,automobile
291,frog
292,dog
293,ship
294,automobile
295,deer
